method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,total_elapsed_s,tts_s,success,tts_hit_s,mts_t_hit_s,target_e,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters,tau_dcqo_s,fast_outlier
DCQO,30,1611744,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9947852300010709,2.692196736999904,2.7507932409989735,2.7507932409989735,1,2.750765542999943,0.05856880600003933,24,28.0,48.0,160.0,372.0,16,28,24,0.05859650399906968,7,2.0067643902000416,0
DAQO,31,1611761,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7362396039989108,0.972751810999398,0.9851593869989301,0.9851593869989301,1,0.9851402209988009,0.012388409999402938,24,36.0,76.0,112.0,212.0,16,36,24,0.012407575999532128,2,2.0067643902000416,1
DCQO,31,1611761,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9939012189988716,2.648146198000177,2.6594170200005465,2.6594170200005465,1,2.6593987140004174,0.011252516000240576,24,32.0,44.0,132.0,344.0,16,32,24,0.011270822000369662,2,2.0067643902000416,0
DAQO,32,1611778,16,10,0.05,0.5,0.05,0.0,1.0,100,0.741203225999925,0.9701369180002075,0.9915150329998141,0.9915150329998141,1,0.9914892420001706,0.02135232399996312,24,44.0,64.0,124.0,268.0,16,44,24,0.021378114999606623,4,2.0067643902000416,1
DCQO,32,1611778,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9935411830010707,2.65466478900089,2.675575139001012,2.675575139001012,1,2.6755573630016443,0.020892574000754394,24,36.0,60.0,144.0,392.0,16,36,24,0.02091035000012198,4,2.0067643902000416,0
DAQO,33,1611795,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7393488629986678,1.0025165469996864,1.0113266209991707,1.0113266209991707,1,1.0112966850010707,0.00878013800138433,24,36.0,68.0,112.0,280.0,16,36,24,0.008810073999484302,2,2.0067643902000416,1
DCQO,33,1611795,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9943970919994172,2.6602696830013883,2.662694264001402,2.662694264001402,1,2.6602696830013883,0.0,24,24.0,40.0,128.0,360.0,16,24,24,0.002424581000013859,1,2.0067643902000416,0
DAQO,34,1611812,16,10,0.05,0.5,0.05,0.0,1.0,100,0.739598981999734,0.9762373400008073,0.984838705002403,0.984838705002403,1,0.9848231529995246,0.008585812998717302,24,44.0,72.0,128.0,240.0,16,44,24,0.008601365001595696,2,2.0067643902000416,1
DCQO,34,1611812,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9858582470005786,2.708364067999355,2.727328441998907,2.727328441998907,1,2.72731136999937,0.018947302000015043,24,32.0,44.0,132.0,400.0,16,32,24,0.018964373999551754,3,2.0067643902000416,0
DAQO,35,1611829,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7418761829994764,0.9722057139988465,0.9929569719988649,0.9929569719988649,1,0.9929392139983975,0.020733499999550986,24,44.0,68.0,124.0,260.0,16,44,24,0.020751258000018424,4,2.0067643902000416,1
DCQO,35,1611829,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9960636439991504,2.6229184200001328,2.6408565290003025,2.6408565290003025,1,2.6408347850010614,0.017916365000928636,24,32.0,44.0,152.0,400.0,16,32,24,0.01793810900016979,3,2.0067643902000416,0
DAQO,36,1611846,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7390650659999665,0.9970079739996436,1.0166221469989978,1.0166221469989978,1,1.0166056329999265,0.019597659000282874,24,36.0,80.0,120.0,272.0,16,36,24,0.019614172999354196,3,2.0067643902000416,1
