method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DCQO,41,2011931,20,10,0.05,0.5,0.05,0.1,1.0,100,5.400082677999308,18.518234990625974,100.0,50.0,130.0,314.0,666.0,ok,
RANDOM,41,2011931,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029217370010883315,34226.21542005681,nan,66.0,106.0,182.0,306.0,ok,
DAQO,42,2011948,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1968852120007796,45.518991822484224,100.0,74.0,130.0,202.0,378.0,ok,
DCQO,42,2011948,20,10,0.05,0.5,0.05,0.1,1.0,100,5.379097184000784,18.590480257064904,100.0,54.0,98.0,258.0,646.0,ok,
RANDOM,42,2011948,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002874933999919449,34783.407202670336,nan,70.0,102.0,158.0,270.0,ok,
DAQO,43,2011965,20,10,0.05,0.5,0.05,0.0,1.0,100,2.180954429999474,45.85148530591908,99.0,58.0,110.0,198.0,426.0,ok,
DCQO,43,2011965,20,10,0.05,0.5,0.05,0.1,1.0,100,5.413349222999386,18.472852180889372,100.0,26.0,114.0,314.0,702.0,ok,
RANDOM,43,2011965,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028939759995409986,34554.53673971746,nan,78.0,110.0,178.0,330.0,ok,
DAQO,44,2011982,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1902931550012,45.65598891256418,100.0,74.0,122.0,226.0,486.0,ok,
DCQO,44,2011982,20,10,0.05,0.5,0.05,0.1,1.0,100,5.415697037000427,18.464843826527385,100.0,50.0,126.0,306.0,690.0,ok,
RANDOM,44,2011982,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029115859997546067,34345.54226061953,nan,82.0,98.0,154.0,250.0,ok,
DAQO,45,2011999,20,10,0.05,0.5,0.05,0.0,1.0,100,2.184298565998688,45.78128720891174,100.0,94.0,122.0,218.0,426.0,ok,
DCQO,45,2011999,20,10,0.05,0.5,0.05,0.1,1.0,100,5.39007196700004,18.552627982007657,100.0,58.0,106.0,318.0,650.0,ok,
RANDOM,45,2011999,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029026669999439036,34451.07551156663,nan,66.0,102.0,170.0,302.0,ok,
DAQO,46,2012016,20,10,0.05,0.5,0.05,0.0,1.0,100,2.180305910000243,45.86512357799776,100.0,58.0,122.0,230.0,422.0,ok,
DCQO,46,2012016,20,10,0.05,0.5,0.05,0.1,1.0,100,5.383312711001054,18.575922553346246,100.0,58.0,90.0,302.0,654.0,ok,
RANDOM,46,2012016,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002916514000389725,34287.508987317495,nan,70.0,102.0,178.0,282.0,ok,
DAQO,47,2012033,20,10,0.05,0.5,0.05,0.0,1.0,100,2.2083811040010914,45.28203932682743,100.0,90.0,122.0,210.0,410.0,ok,
DCQO,47,2012033,20,10,0.05,0.5,0.05,0.1,1.0,100,5.421104414001093,18.446425739694273,99.0,54.0,114.0,298.0,702.0,ok,
RANDOM,47,2012033,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028920580007252283,34577.453140609025,nan,66.0,98.0,174.0,286.0,ok,
DAQO,48,2012050,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1958949389991176,45.53951932034585,100.0,82.0,118.0,206.0,482.0,ok,
DCQO,48,2012050,20,10,0.05,0.5,0.05,0.1,1.0,100,5.416210625000531,18.463092911936045,100.0,54.0,118.0,306.0,750.0,ok,
RANDOM,48,2012050,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002872527000363334,34812.55354165563,nan,58.0,94.0,166.0,270.0,ok,
DAQO,49,2012067,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1941837039994425,45.575035407347734,100.0,82.0,122.0,206.0,406.0,ok,
DCQO,49,2012067,20,10,0.05,0.5,0.05,0.1,1.0,100,5.403306316999078,18.507186920977418,100.0,74.0,118.0,318.0,754.0,ok,
RANDOM,49,2012067,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028700549992208835,34842.537870231194,nan,82.0,98.0,166.0,298.0,ok,
DAQO,50,2012084,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1948924219996115,45.56031949342513,100.0,74.0,118.0,214.0,490.0,ok,
DCQO,50,2012084,20,10,0.05,0.5,0.05,0.1,1.0,100,5.413783718999184,18.47136959850447,100.0,62.0,98.0,302.0,798.0,ok,
RANDOM,50,2012084,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002899900000556954,34483.947715712275,nan,58.0,90.0,166.0,298.0,ok,
DAQO,51,2012101,20,10,0.05,0.5,0.05,0.0,1.0,100,2.175223463000293,45.972288227375806,100.0,82.0,106.0,202.0,446.0,ok,
DCQO,51,2012101,20,10,0.05,0.5,0.05,0.1,1.0,100,5.409620418000486,18.48558535960314,100.0,66.0,126.0,302.0,910.0,ok,
RANDOM,51,2012101,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028781269993487513,34744.81842622911,nan,54.0,90.0,174.0,314.0,ok,
DAQO,52,2012118,20,10,0.05,0.5,0.05,0.0,1.0,100,2.20056002399906,45.4429776554201,100.0,78.0,118.0,218.0,406.0,ok,
DCQO,52,2012118,20,10,0.05,0.5,0.05,0.1,1.0,100,5.408630873998845,18.48896741701019,100.0,58.0,114.0,318.0,742.0,ok,
RANDOM,52,2012118,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002862506999008474,34934.41239956387,nan,66.0,94.0,162.0,262.0,ok,
DAQO,53,2012135,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1935966729997745,45.58723179646721,100.0,50.0,130.0,242.0,450.0,ok,
DCQO,53,2012135,20,10,0.05,0.5,0.05,0.1,1.0,100,5.416390307000256,18.46248042183332,100.0,54.0,94.0,318.0,854.0,ok,
RANDOM,53,2012135,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002859602000171435,34969.901403763506,nan,42.0,102.0,166.0,298.0,ok,
DAQO,54,2012152,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1799473209994176,45.872668131335416,100.0,54.0,110.0,222.0,394.0,ok,
DCQO,54,2012152,20,10,0.05,0.5,0.05,0.1,1.0,100,5.431634549999217,18.41066424470962,100.0,54.0,138.0,294.0,690.0,ok,
RANDOM,54,2012152,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028991620001761476,34492.7258269542,nan,82.0,114.0,174.0,346.0,ok,
DAQO,55,2012169,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1895656420001615,45.671158736602344,99.0,78.0,114.0,238.0,382.0,ok,
DCQO,55,2012169,20,10,0.05,0.5,0.05,0.1,1.0,100,5.423203371999989,18.439286366485945,100.0,54.0,106.0,318.0,702.0,ok,
RANDOM,55,2012169,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002895236000767909,34539.498670739384,nan,78.0,106.0,170.0,266.0,ok,
DAQO,56,2012186,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1922423010000784,45.61539568613425,100.0,62.0,110.0,254.0,542.0,ok,
