method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DAQO,33,2011795,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.694061166999745,448.1584385259792,2998.0,58.0,122.0,214.0,430.0,ok,
DCQO,33,2011795,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,33,2011795,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003411564999623806,879361.8179137171,nan,42.0,102.0,170.0,302.0,ok,
DAQO,34,2011812,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.671153563000189,449.6973381993058,2996.0,38.0,122.0,218.0,446.0,ok,
DCQO,34,2011812,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,34,2011812,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034326530003454536,873959.58743808,nan,50.0,102.0,170.0,302.0,ok,
DAQO,35,2011829,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.658997327000179,450.5182766534424,2989.0,50.0,122.0,218.0,458.0,ok,
DCQO,35,2011829,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,35,2011829,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0036049190002813702,832196.2295868075,nan,38.0,106.0,170.0,302.0,ok,
DAQO,36,2011846,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.6849716439992335,448.7677973462985,2993.0,38.0,126.0,218.0,462.0,ok,
DCQO,36,2011846,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,36,2011846,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032909740002651233,911584.23000556,nan,50.0,102.0,166.0,294.0,ok,
DAQO,37,2011863,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.642459131999203,451.63996351108597,2994.0,38.0,118.0,214.0,430.0,ok,
DCQO,37,2011863,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,37,2011863,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003486683001028723,860416.6192093946,nan,46.0,102.0,170.0,306.0,ok,
DAQO,38,2011880,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.6541440000000875,450.84687076203346,2993.0,58.0,118.0,214.0,430.0,ok,
DCQO,38,2011880,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,38,2011880,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032539829990128055,921947.0417977418,nan,50.0,102.0,170.0,302.0,ok,
DAQO,39,2011897,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.6307609579998825,452.43675937081684,2999.0,50.0,122.0,218.0,458.0,ok,
DCQO,39,2011897,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,39,2011897,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0036470189988904167,822589.6275595854,nan,50.0,102.0,170.0,302.0,ok,
